name,weapons,strength,dexterity,armor,kills
modesty blaise,"kongo, mab brevete",10,14,0,486
willie garvin,throwing knives,14,10,0,306
ben,"rifle, molotov cocktails",14,10,0,354
paladin,"colt, derringer",10,14,0,546
wimpy the burdensome,heavy axe,20,4,6,528
gandalf the gray,staff,10,14,0,162
obiwan kenobi,light saber,8,16,0,228
george lucas,jack kirby,12,12,0,205
stan lee,jack kirby,10,14,0,617
carl sagan,billions,12,12,4,425
lancelot the brave,sword,13,11,5,24
sir robin the not-quite-so-brave,horse,6,18,6,225
hendrix,guitar,10,14,0,251
eagle warrior,macuahuitl,14,10,4,275
bay wolf,glow sticks,6,18,0,221
burner bro,"cowboy hat, sarong",14,10,0,110
marlene dietrich,lipstick,10,12,0,606
captain scarlet,electron gun,14,10,66,57
scarlett o'hara,drapes,8,14,2,357
jonathan worthington,raku,8,16,0,494
steve jobs,"mouse, reality warp",8,16,8,259
ganesha,mouse,18,6,2,248
anne bonny,"cannon, pistol, sword",8,14,0,607
marlon brando,"leather jacket, motorcycle",12,12,4,385
draymond green,big orange ball,10,14,0,320
