Name 	Type 	Description
Any 	class 	Thing/object
Array 	class 	Sequence of itemized values
Associative 	role 	Object that supports looking up values by key
AST 	class 	Abstract representation of a piece of source code
atomicint 	class 	Integer (native storage at the platform's atomic operation size)
Attribute 	class 	Member variable
Backtrace 	class 	Snapshot of the dynamic call stack
Backtrace::Frame 	class 	Single frame of a Backtrace
Bag 	class 	Immutable collection of distinct objects with integer weights
Baggy 	role 	Collection of distinct weighted objects
BagHash 	class 	Mutable collection of distinct objects with integer weights
Blob 	role 	Immutable buffer for binary data ('Binary Large OBject')
Block 	class 	Code object with its own lexical scope
Bool 	enum 	Logical Boolean
Buf 	role 	Mutable buffer for binary data
Callable 	role 	Invocable code object
CallFrame 	class 	Captures the current frame state
Cancellation 	class 	Removal of a task from a Scheduler before normal completion
Capture 	class 	Argument list suitable for passing to a Signature
Channel 	class 	Thread-safe queue for sending values from producers to consumers
Code 	class 	Code object
Collation 	class 	Encapsulates instructions about how strings should be sorted
Compiler 	class 	Information related to the compiler that is being used
Complex 	class 	Complex number
ComplexStr 	class 	Dual value complex number and string
CompUnit 	class 	CompUnit
CompUnit::PrecompilationRepository 	role 	CompUnit::PrecompilationRepository
CompUnit::Repository 	role 	CompUnit::Repository
CompUnit::Repository::FileSystem 	class 	CompUnit::Repository::FileSystem
CompUnit::Repository::Installation 	class 	CompUnit::Repository::Installation
Cool 	class 	Object that can be treated as both a string and number
CurrentThreadScheduler 	class 	Scheduler that synchronously executes code on the current thread
CX::Done 	class 	Done control exception
CX::Emit 	class 	Emit control exception
CX::Last 	class 	Last control exception
CX::Next 	class 	Next control exception
CX::Proceed 	class 	Proceed control exception
CX::Redo 	class 	Redo control exception
CX::Return 	class 	Return control exception
CX::Succeed 	class 	Succeed control exception
CX::Take 	class 	Take control exception
CX::Warn 	class 	Control exception warning
Date 	class 	Calendar date
Dateish 	role 	Object that can be treated as a date
DateTime 	class 	Calendar date with time
Distribution 	role 	Distribution
Distribution::Hash 	class 	Distribution::Hash
Distribution::Locally 	class 	Distribution::Locally
Distribution::Path 	class 	Distribution::Path
Distribution::Resource 	class 	Every one of the resources installed with a distribution
Distro 	class 	Distribution related information
Duration 	class 	Length of time
Encoding 	role 	Support for character encodings.
Encoding::Registry 	class 	Management of available encodings
Endian 	enum 	Indicate endianness (6.d, 2018.12 and later)
Enumeration 	role 	Working with the role behind the enum type
Exception 	class 	Anomalous event capable of interrupting normal control-flow
Failure 	class 	Delayed exception
FatRat 	class 	Rational number (arbitrary-precision)
ForeignCode 	class 	Rakudo-specific class that wraps around code in other languages (generally NQP)
Grammar 	class 	Formal grammar made up of named regexes
Hash 	class 	Mapping from strings to itemized values
HyperSeq 	class 	An object for performing batches of work in parallel with ordered output
HyperWhatever 	class 	Placeholder for multiple unspecified values/arguments
Instant 	class 	Specific moment in time
Int 	class 	Integer (arbitrary-precision)
int 	class 	Native integer
IntStr 	class 	Dual value integer and string
IO 	role 	Input/output related routines
IO::ArgFiles 	class 	Iterate over contents of files specified on command line
IO::CatHandle 	class 	Use multiple IO handles as if they were one
IO::Handle 	class 	Opened file or stream
IO::Notification 	class 	Asynchronous notification for file and directory changes
IO::Notification::Change 	class 	Changes in a file, produced by watch-file
IO::Path 	class 	File or directory path
IO::Path::Cygwin 	class 	IO::Path pre-loaded with IO::Spec::Cygwin
IO::Path::Parts 	class 	IO::Path parts encapsulation
IO::Path::QNX 	class 	IO::Path pre-loaded with IO::Spec::QNX
IO::Path::Unix 	class 	IO::Path pre-loaded with IO::Spec::Unix
IO::Path::Win32 	class 	IO::Path pre-loaded with IO::Spec::Win32
IO::Pipe 	class 	Buffered inter-process string or binary stream
IO::Socket 	role 	Network socket
IO::Socket::Async 	class 	Asynchronous socket in TCP or UDP
IO::Socket::Async::ListenSocket 	class 	A tap for listening TCP sockets
IO::Socket::INET 	class 	TCP Socket
IO::Spec 	class 	Platform specific operations on file and directory paths
IO::Spec::Cygwin 	class 	Platform specific operations on file and directory paths for Cygwin
IO::Spec::QNX 	class 	Platform specific operations on file and directory paths QNX
IO::Spec::Unix 	class 	Platform specific operations on file and directory paths for POSIX
IO::Spec::Win32 	class 	Platform specific operations on file and directory paths for Windows
IO::Special 	class 	Path to special I/O device
Iterable 	role 	Interface for container objects that can be iterated over
Iterator 	role 	Generic API for producing a sequence of values
Junction 	class 	Logical superposition of values
Kernel 	class 	Kernel related information
Label 	class 	Tagged location in the source code
List 	class 	Sequence of values
Lock 	class 	A low-level, re-entrant, mutual exclusion lock
Lock::Async 	class 	A non-blocking, non-re-entrant, mutual exclusion lock
Macro 	class 	Compile-time routine
Map 	class 	Immutable mapping from strings to values
Match 	class 	Result of a successful regex match
Metamodel::AttributeContainer 	role 	Metaobject that can hold attributes
Metamodel::C3MRO 	role 	Metaobject that supports the C3 method resolution order
Metamodel::ClassHOW 	class 	Metaobject representing a Raku class.
Metamodel::ConcreteRoleHOW 	class 	Provides an implementation of a concrete instance of a role
Metamodel::CurriedRoleHOW 	class 	Support for parameterized roles that have not been instantiated
Metamodel::DefiniteHOW 	class 	Metaobject for type definiteness
Metamodel::Documenting 	role 	Metarole for documenting types.
Metamodel::EnumHOW 	class 	Metaobject representing a Raku enum.
Metamodel::Finalization 	role 	Metaobject supporting object finalization
Metamodel::MethodContainer 	role 	Metaobject that supports storing and introspecting methods
Metamodel::Mixins 	role 	Metaobject for generating mixins
Metamodel::MROBasedMethodDispatch 	role 	Metaobject that supports resolving inherited methods
Metamodel::MultipleInheritance 	role 	Metaobject that supports multiple inheritance
Metamodel::Naming 	role 	Metaobject that supports named types
